area,session,event,train_object,test_object,acc,auc,evaluation,is_cross_object
F5,MonkeyB_Session12,Event1,Object3,Object3,0.5433333333333333,0.5177777777777778,within_object_cv,False
F5,MonkeyB_Session12,Event3,Object1,Object1,0.8266666666666665,0.9177777777777778,within_object_cv,False
F5,MonkeyB_Session12,Event3,Object1,Object2,0.7666666666666667,0.8266666666666667,cross_object_holdout,True
F5,MonkeyB_Session12,Event3,Object1,Object3,0.8,0.8933333333333333,cross_object_holdout,True
F5,MonkeyB_Session12,Event3,Object2,Object1,0.8,0.92,cross_object_holdout,True
F5,MonkeyB_Session12,Event3,Object2,Object2,0.6800000000000002,0.7733333333333333,within_object_cv,False
F5,MonkeyB_Session12,Event3,Object2,Object3,0.7666666666666667,0.8666666666666667,cross_object_holdout,True
F5,MonkeyB_Session12,Event3,Object3,Object1,0.8666666666666667,0.9733333333333334,cross_object_holdout,True
F5,MonkeyB_Session12,Event3,Object3,Object2,0.7333333333333333,0.8222222222222223,cross_object_holdout,True
F5,MonkeyB_Session12,Event3,Object3,Object3,0.7866666666666668,0.8311111111111111,within_object_cv,False
F5,MonkeyC_Session02,Event1,Object1,Object1,0.44666666666666666,0.4177777777777778,within_object_cv,False
F5,MonkeyC_Session02,Event1,Object1,Object2,0.5,0.5688888888888889,cross_object_holdout,True
F5,MonkeyC_Session02,Event1,Object1,Object3,0.5,0.6311111111111111,cross_object_holdout,True
F5,MonkeyC_Session02,Event1,Object2,Object1,0.5862068965517241,0.6238095238095238,cross_object_holdout,True
F5,MonkeyC_Session02,Event1,Object2,Object2,0.4066666666666666,0.39777777777777784,within_object_cv,False
F5,MonkeyC_Session02,Event1,Object2,Object3,0.5333333333333333,0.64,cross_object_holdout,True
F5,MonkeyC_Session02,Event1,Object3,Object1,0.5862068965517241,0.6142857142857143,cross_object_holdout,True
F5,MonkeyC_Session02,Event1,Object3,Object2,0.4666666666666667,0.56,cross_object_holdout,True
F5,MonkeyC_Session02,Event1,Object3,Object3,0.48999999999999994,0.5466666666666666,within_object_cv,False
F5,MonkeyC_Session02,Event3,Object1,Object1,0.5046666666666667,0.49111111111111116,within_object_cv,False
F5,MonkeyC_Session02,Event3,Object1,Object2,0.6,0.6622222222222223,cross_object_holdout,True
